Title,Descriptions,Category
Grove Collaborative What We Do Now MattersÊ Drew Barrymore commercial.txt,hi it's me drew barrymore are you. sitting down i hope so because this is. gonna blow your mind did you know that. only nine percent of plastic gets. recycled no matter how much you put in. your bin nine percent insanity right but. don't freak out grove collaborative is. moving beyond plastic with their own. line of natural sustainable home. cleaning products called grovco and they. really work i'm talking surface cleaners. dish soap laundry detergent refillable. glass dispensers and spray bottles you. name it grove delivers right to your. door and the best part no plastic waste. no harsh chemicals and no compromises. and by 2025 grove will be 100. plastic free grove keeps my conscience. clean and my house spotless so visit. grove.com today for a free starter kit. and free shipping that's grove.com. because what we do now. matters. [Music],Not Food
Capital One Ryan Seacrest commercial.txt,with no fees or minimums and no. overdraft fees banking with capital one. is the easiest decision in the history. of decisions that's banking reimagined. what's in your wallet terms apply see. capitalone.com bank for details capital. one n a member fdic,Not Food
Cosentyx Cindy Lauper commercial.txt,hi i'm cindy lauper for years i felt. awful because of my psoriasis but i. didn't give up my doctor and i chose. cocentix cocentix secukinumab is. indicated for adults with moderate to. severe plaque psoriasis and is given as. a 300 milligram dose don't use if you're. allergic to cocentix before starting get. checked for tuberculosis an increased. risk of infections some serious and the. lower ability to fight them may occur. tell your doctor about an infection or. symptoms like fevers sweats chills. muscle aches or cough or if you've had a. vaccine or plan to tell your doctor if. your crohn's disease symptoms develop or. worsen serious allergic reactions may. occur see our ad in country living. magazine learn more at gocentics.com or. by calling 1-844 cocentix. cosantix works for me ask your. dermatologist about cocentix,Not Food
New York Presbyterian commercial.txt,at new york presbyterian our cancer care. experts take a holistic approach in. treating not just the cancer but its. effects on the whole body come get a. first or second opinion from the. hospital with some of the nation's top. doctors stay amazing new york. presbyterian,Not Food
Z100 Memorial Day Weekend bumper.txt,memorial day weekend discover your songs. of the summer on z100. jack harlow first class. [Music]. harry styles as it was. [Music]. [Music],Not Food
Macy_s Memorial Day Sale commercial.txt,macy's memorial day sale has everything. you need to dive into summer the right. way with specials like 30 to 40 off. sandals slides and more and 25 to 40 off. tops and shorts from ink tommy hilfiger. and more plus refresh your space with 50. off hotel bedding and macy's star. rewards members can earn rewards even. faster during star money bonus days see. macy's dot com slash star rewards. savings off regular sale and clearance. prices exclusion supplies,Not Food
Elvis Duran and the Z100 Morning Show commercial.txt,[Applause]. [Music]. i had a little too much to drink and uh. uh i got it a little crazy i got a. hundred brillo pads and a harmonica. that sounds like a party what do you. need 100 beds for. i don't know but the deal was just there. duran is back in the show. [Applause]. with elvis duran and the z100 morning. show tomorrow just tell your smart. device to wake you up to z 100 on i. heart radio,Not Food
Jingle Ball commercial.txt,retailer near you. it's time to get your jingle on of. course i'm talking about i heart radio. jingle ball presented by capital one the. best holiday show ever the lineup hasn't. been announced yet but ho ho holy moly. it's gonna be good and get this capital. one card holders get access to tickets. before anyone else the cardholder. pre-sale starts tuesday october 5th for. 48 hours only or while supplies last. tickets go fast so check out. iheartradio.com. capitalone for more info and to get. ready for jingle ball,Not Food
The Disney Bundle The Streamer commercial.txt,howdy the streamer here you know there's. a place down yonder where three streams. converge into one it's where i saw the. mandalorian get himself into a space. squabble watch me some ufc. those folks from modern family had me. cackling like a trout getting tickled. that's a disney bundle for you it lets. you stream disney plus hulu and espn. plus for only 13.11 a month the disney. bundle it's streaming at its best. includes hulu at supported plan access. content from eat service separately. terms apply visit thedisneybundle.com,Not Food
I Hear Radio App commercial.txt,of your. [Music]. celebrations and i heart radio station. hey it's garrett from elvis duran and. the c100 morning show the days of having. your favorite radio station cut out are. officially gone thanks to the free. iheart app that's exactly why we made it. now wherever the destination is you can. bring z100 with you including thousands. of playlists to fit any mood or occasion. and the biggest names in the podcast. universe like the elvis duran show on. demand or my own podcast celebrity buzz. download the free i heart app today. number one for music radio and podcast. all in one act here we go. [Music]. building. after two o'clock in the city of shelly. brawl the weekend coming up also new. edge sharon after the most requested. song of the hour plays now. [Music],Not Food
Turtle Wax DJ Envy commercial.txt,what up y'all it's dj envy and i'm. teaming up with turtle wax this summer. to make sure your rods are clean shiny. protected and even disinfected because. whether you're hitting the streets or. heading out on the highway to the beach. turtle wax will make sure your vehicle. is looking smelling and feeling amazing. turtle wax is the only brand that i. trust with my fleet of supercars and. y'all know how many cars i keep in my. garage right check out turtlewax.com to. learn more and be sure to buy now at. turtlewax.com or anywhere you shop for. car care,Not Food
Celebrity Wheel of FortuneÊ Supermarket Sweep commercial.txt,for details. abc tonight it's all about big cash here. we go and big crash. on the new season of celebrity wheel of. fortune one star will spin it. to. then host leslie jones is off to the. races on supermarket suite on your cart. and we're gonna need a clean up on every. eye on fire it all starts tonight 87. central on abc and stream on hulu,Not Food
Chevrolet Equinox Tri-State Chevy Dealers commercial.txt,juice to kick-start each morning for. five days just use the code carolina to. get five green juices for just ten. dollars at. tryprest.com or a pressed juicery near. you this is a sponsorship with prest hey. it's danielle yeah it's time to head. back to school but your local tri-state. chevy dealers are proud to support. educators and they wish you a happy and. healthy school year ahead my chevy. equinox gets straight a's because it's. got active safety features infotainment. technology and it's so fun to drive so. you're gonna understand why i love. driving my chevy equinox and now is a. great time to check out my tri-state. chevy friends they have some really. great offers going on now through the. end of the month and you can find your. local tri-state chevy dealer at chevy. offers.com and fall in love with the. chevy like i did. [Music]. baz lernen's revolutionary film comes to. life when moulin rouge the musical. returns to broadway september 24th. nominated for 14 tony awards including. best musical the new york times calls it. euphoric gasp inspiring in moulin rouge. life is beautiful the musical. spectacular returns september 24th on. broadway go to moulin rouge musical.com. for tickets and details about our new. ticketing health and safety policies,Not Food
TikTok Mini Mix commercial.txt,hey this is tonya and ej music quiz what. do. roddy rich's the box and say so by. dojicat have in common. well they both started on tick tock the. place to discover new music and artists. that's why you got to be here weeknights. for the tick tock mini mix it's a weekly. mix of must-have music from pop to. hip-hop to that track just bubbling up. don't miss the tick tock mini mix right. here weeknights,Not Food
Reach NJ commercial.txt,addiction affects so many families and. individuals in new jersey. perhaps it's a struggle for you or. someone you know take it from me. there's now real help and real hope i'm. talking about medications that can help. support. a program of sustained recovery. medications that have been proven to. help people throughout our state and. across the country. and that can work with your treatment. program learn more at 1. 844 reach nj or visit reachnj.gov. a message from the new jersey department. of human services,Not Food
"Debt Relief commercial (I don_t usually put my opinions here, but they don_t even say the name of the company, seems very shady).txt",attention this is a very important. message to anyone with debt exceeding. ten thousand dollars. with the worldwide stock markets free. falling coronavirus being labeled a. global pandemic cities and whole. countries in quarantine and layoffs. picking up speed. the last thing you need to worry about. is your credit card bills due to the. recent global events a special debt. relief helpline has been created for. anyone with over ten thousand dollars in. debt but you must call us at eight. hundred. two one one nine eight three two as. banks shore up capital bracing for a. recession they are willing to settle. your debt for a fraction of what you. owe making it a perfect time to. eliminate your debt and save your money. during these tough economic times. there are no upfront fees and we offer a. 100 percent money back guarantee. but you must call us at. this opportunity 800-211-1832 last long. so call us today at 800-211-1832. you have enough to worry about settle. your debt and remove that unneeded. stress. 800-211-1832 that's,Not Food
JC Penny Friends And Family Sale commercial.txt,employer. everyone gets a family welcome at the. jcpenney friends and family sale. save up to 50 across the store shop for. him her. juniors home and more because there's. something for everyone. plus we're giving you one of our best. coupons for even more savings. an extra 30 off in store or online at. jcp.com. on the go pick up your order curbside. we're sharing the love. so come in this thursday to sunday. jcpenney offer ballot 820 to 823. conditions and exclusions apply see. store or jcp.com for details,Not Food
PC Richard In-Store Shopping Is Back commercial.txt,merrickdodgechryslerjeep.com. the doors are open in-store shopping is. back. at pc richard and son,Not Food
Amazon Job Opportunity commercial.txt,amazon is hiring near you earn a. competitive wage and start as soon as. seven days. no resume or experience required health. and safety are a top priority with all. of amazon's roles and sites. amazon is taking precautions in their. buildings to keep people healthy. go to amazon.com apply that's amazon.com. apply amazon is an equal opportunity. employer,Not Food
Value City Summer Sell Off Sale commercial.txt,the 800-211-1832 sell-off sale is on. here at value city nj and all. living rooms dining rooms and bedrooms. are 50 off and more. plus up to 70 percent off all close outs. over stocks cancelled orders and floor. samples get up to 60 months no interest. and free full service delivery and get. the guaranteed lowest prices on. america's top mattress brands see lee. stearns and foster i comfort simmons. beautyrest black ashley and temperpedic. don't miss the summer sell-off sale. visit us at valuecitynj.com,Not Food
Merrick Dodge Chrysler Jeep Ram of Wantagh Summer Clearance Event commercial.txt,remember when getting away was as simple. as packing up the family and hitting the. road. at merrick dodge chrysler jeep ram of. wantagh it's their summer clearance. event. they will work to meet your needs and. your budget on all new 2020 vehicles. see the difference at. merrickdodgechryslerjeep.com,Not Food
Z100 Bumper.txt,[Music]. and i heart radio station. here we go. [Music]. buildings,Not Food
Dawn Dish Spray Powerwash Spray Wash and Rinse commercial.txt,[Music]. taking a nap. clean those bottles and stuff just spray. wipe. is. [Music],Not Food
Byte Ryan Seacrest Z100 sponsor commercial.txt,american top 40. powered by. bite hey it's ryan seacrest this year. put your tax rebate towards something. you'll love a straighter smile from bite. that's b-y-t-e bite invisible teeth. aligners cost thousands less than. traditional braces and it's doctor. directed order your home impression kit. for just 14.15 at byte.com all right. back to the hits. these are the hottest songs in america. on americans hob 40. we are inside your. top 10.. and daniel radcliff's got a new movie up. but instead of casting spells and. fighting dragons he's headed to the. jungle in the lost city we'll catch up. with him after seven. lotto big energy,Not Food
The Grammys Ryan Seacrest Z100 sponsor commercial.txt,tonight on cbs it's music's biggest. night the grammys are live from las. vegas don't miss the biggest names in. music all on one stage check out this. amazing lineup of performers billy. eilish bts little naz x featuring jack. harlow olivia rodrigo her nas and many. many more the brightest lights the. biggest stage a night of unforgettable. performances from music's most iconic. artists the grammys hosted by trevor. noah live from las vegas tonight at. eight eastern five pacific on cbs and. streaming on paramount plus,Not Food
Geico Finding The Right Person For The Job The Karate Teacher commercial.txt,finding the right person for the job. isn't easy just ask someone who hired a. karate teacher to trim their hedges hey. man these shrubs are not made of plywood. don't worry another few chops should do. it. nope. dang but if you've got an insurance. question you can always count on your. local geico agent they can bundle your. policies which could save you hundreds. oh this treehouse looks like. particleboard. there we go starting to doubt myself for. expert help with all your insurance. needs visit geico.com local today,Not Food
Aladdin on Broadway commercial.txt,genie here from the hit broadway musical. aladdin it is time to get out there the. magic on there's nothing like hearing a. live orchestra and the huge ovations and. feeling the electricity that only takes. place in a theater come on who wouldn't. want to see a show filled with. incredible songs sensational dancing and. a full-on magic carpet so come see us. best availability weeknights get your. tickets at aladdin themusical.com,Not Food
Charmin Pride Month commercial.txt,it's pride month baby and charmin wants. to send all you bears and non-bears out. there. a big bear hug however you plan to. celebrate charmin will be doing its part. to keep pride rolling with bathrooms for. everyone we're on a mission to provide. better bathroom experiences and that. makes charmin very happy. we all go so why not enjoy the go with. charvin proud to support i heart radio's. can't cancel pride and the entire lgbtq. plus community,Not Food
Macy_s 4th of July Sale commercial.txt,[Music]. at jcpenney's fourth of july sale it's. all stars stripes and savings enjoy up. to 50 off select furniture mattresses. and window coverings plus shop thousands. of door busters across the store or use. your coupon for additional savings take. advantage of extended store hours friday. and saturday it's time to refresh your. star spangled manor shopping is back jc. penney offers n74 exclusion supply. doorbusters excluded from coupon. cjcp.com for details,Not Food
Top Gun Maverick 4th of July commercial.txt,priceless this fourth of july don't miss. the movie of the summer. are you ready damn right. top gun maverick is one of the greatest. movies ever made see it on the biggest. screen possible you got yourself a deal. tom cruise top gun maverick radio pg-13. on 1035 ktu from the try acura studios. visit your local try acura dealer. [Music],Not Food
MetaverseÊ Mastercard Pride Month commercial.txt,this pride month let your true colors. shine in the metaverse jump into. mastercard's pride plaza in decentraland. and join in on the fun no matter where. you are in the world. celebrate who you are by taking a ride. on our virtual pride parade float attend. exclusive talks unlock nft wearables and. more designed by and for the lgbtqia. plus community. visit priceless.com pride and be you be. proud because being your true self is. priceless this fourth of july don't miss,Not Food
Shady Grow Fertility commercial.txt,of discovery. what's behind a name well at shady grove. fertility. not only are we home to 85 000 babies. born and counting. we're also proud to have earned more. than 5 000. five star patient reviews if you've been. trying to conceive for more than six. months. it may be time to see a fertility. specialist getting started is easy and. convenient with video. consults let shady grow fertility put. their proven track record to work for. you. schedule today at. shadygrovefertility.com,Not Food
Chevrolet Equinox Danielle Monaro commercial.txt,bottles. hey it's danielle unlock a summer of. possibilities with new adventures and. hit the open road in a new chevy the. equinox has. everything you need to break free and. explore the open road it's the. capability for a fun drive. standard safety features and the. technology so you can stay in touch. while enjoying your chance to get away. and now's a great time to check out my. tri-state chevy friends they have some. really great offers going on now through. the end of the month find your local. tri-state chevy dealer at chevy. offers.com and fall in love with the. chevy like i did,Not Food
Camelback Resort Say Goodbye To Your Old VacationÊ Danielle Monaro commercial.txt,summer is not just reserved for the. weekends it's time to say goodbye to. your old vacation and say hello to. camelback resort in the pocono mountains. plan a midweek getaway and save up to 25. when you book early. to water parks indoor and outdoor with. over 50 rides slides and attractions. newly renovated suites and you can take. the fun off-road with the new switchback. utv tours. private campfire experiences and more. book your camelbak vacation today at. camelbackresort.com. aquatopia always included with your stay. restrictions apply,Not Food
Progressive Name Your Price Tool commercial.txt,the thing about the name your price tool. from progressive is that by now you've. heard. a lot of ads about the name your price. tool from progressive we probably don't. even need the words the name your price. tool to tell you that our humpback whale. pup gives you options based on your. budget or that our novelty hand buzzer. helps you save on car insurance. and that's the thing about the tiny felt. bag filled with marbles at this point. you've heard a lot of ads about the. elusive northern bobcat the name your. price to. the neighbor who baked your banana bread. only from progressive progressive. casualty insurance company and. affiliates price and coverage limited by. state law. the jcpenney mystery sale is bad how,Not Food
GE Cync Experience Life In Cync commercial.txt,of happiness in the 80s vcrs and. cordless phones the size of a cat were. pretty rad. back then controlling your house with. finger swipes or voice commands would. have been magical. now it's just practical with new ge. brand. sync smart home products using the sync. app it's easy to automate and adjust. your home lighting. looking on your kids and pets with home. security cameras and more. new sync smart home products they're. awesome. totally awesome experience life in sync,Not Food
NYC Department of Health New Yorkers Share Why They Got a Covid-19 Vaccine PSA.txt,new yorkers share why they got a copic. 11 vaccine. i want to protect my family so they. don't get infected and also i want to go. most likely. outside i had asthma since i was born. and if. i didn't get the vaccine i have a. feeling i would get more sick than other. people who. don't have asthma to protect myself and. my family. and just so that we could create a new. definition of normal with the vaccines. we call be safe and protected. visit nyc.gov vaccine finder or call 877. backs for nycc. new york city. building i heart radio. this is the weekend and here's my new. single on z100 the weekend. take my breath,Not Food
JC Penny Mystery Sale commercial.txt,much will you save. shop thursday through sunday and you. could get an extra 30 40 or even 50. off with in-store coupon giveaway save. on brands like arizona and exertion. plus discover our new kids brand. thereabouts styles designed with every. kid in mind. plus shop extended store hours smart. shopping and surprise savings. jcpenney offer valid eight five to eight. eight giveaway in stores only while. supplies last must be 18 or older some. exclusions apply. see store or dcp.com for details,Not Food
Suicide Squad Ryan Seacrest commercial.txt,the suicide squad from the director of. guardians of the galaxy. james gunn comes the most epic and. unforgettable squad yet. and their task oh just to save the world. with a rotten tomato score. basically on a percent you don't know. squad now playing in theaters and on hbo. max rated r,Not Food
Bank of America Community Home Owner Commitment commercial.txt,when you build you start with the. foundation and home ownership. is a foundation of a stable future the. bank of america community homeownership. commitment can help lay the groundwork. with ten thousand dollars towards your. down payment or three percent of the. purchase price. whichever is less the satisfaction of. finally owning your own place can become. a reality. tap the banner to learn more bank of. america. what would you like the power to do bank. of america na equal housing lender. credit and collateral subject to. approval restrictions apply this is not. a commitment to lend,Not Food
Z100 Celebrates Black-Owned Businesses commercial.txt,what's up it's maxwell and yes z100 is. celebrating black owned businesses so. check out our building black biz page. right now at z100.com. that's where you're going to find black. owned businesses to support in your area. just like jersey street convenience a 24. 7 convenience store located at 427. jersey street in staten island new york. rock and ramen that's the japanese and. caribbean infusion restaurant known for. their ramen bowls and if you're in new. rochelle stop by. try their curried oxtail ramen or jerk. chicken ramen bowls. chef's kiss they're at 11 anderson. street in new rochelle. come on if you got a black owned. business that you think should be. highlighting send it to us now. at z100.com,Not Food
MSC Cruises It_s Time Again commercial.txt,when i met you in the summer it's time. to live. laugh and create memories again with msc. cruises. join us on some of the world's most. modern and innovative ships. discover again at our new private island. ocean key msc marine reserve. named best new cruise destination cruise. the caribbean and bahamas from miami or. port canaveral from 151 dollars per. person. book now with free balcony upgrades and. flexible booking changes call your. travel advisor or visit mscruises.com. restriction supply msc cruises a world. of discovery,Not Food
American Top 40 with Ryan Seacrest bumper.txt,you're on air with ryan seacrest on. at40.to the stars. and the biggest hits in the usa this. is at40 these are the top five songs of. the week. and like a lot of artists five seconds. of summer have found themselves with. some down time before their rescheduled. tour kicks off next march. we'll tell you which of the guys are. branching out solo. after number five blinding likes the. weekend,Not Food
Jeep Grand Cherokee What Makes Jeep commercial.txt,visit open road if you think we're just. four wheels and a grill. think again the jeep grand cherokee. redefines freedom. but what really makes jeep it's finding. the perfect balance between luxury. and adventure without ever compromising. it's driving across the country to see. your family to make new memories. so what makes cheap. you do cheap there's only one. jeep is a registered trademark of fca us. llc,Not Food
Vitamin Water This Is The Sound commercial.txt,[Music]. this is the sound of regular water. droplets. this is the sound of vitamin water. droplets. regular water vitamin water. [Music]. regular water vitamin water. hey come on now vitamin water it has. vitamins. but also parties copyright twenty twenty. classo,Not Food
Farmers Insurance Farmers Policy Perks commercial.txt,a bullseye view you get a whole lot of. something with farmers policy perks. so much i'm gonna have to speed things. up you can get the claim free discount. which gives you money off your. homeowner's policy if you've been. claim-free for three consecutive years. also lies for three successive years. three years straight and what's known to. insurance fans is to claim free three. beat. get a whole lot of something with. farmers policy perks start with a quote. by calling 1 800 farmers. we are farmers. now for the legal something not. available in every state only available. to suck farmers branded policy subject. to terms and conditions underwritten by. farmers trucker fire insurance exchanges,Not Food
Target Your Family and Our Team Members Safety commercial.txt,llc. at target our first priority is the. health of you your families and our team. members. that's why we now require guests to wear. a mask or face covering. and continue to provide masks and gloves. to protect our team members. every day we deep clean our stores and. wipe down carts and baskets after every. use. and you can always count on easy. contactless shopping options. like drive up and same day delivery we. believe in always taking care. and will always do that for you learn. more at target.com. a bullseye view you get a whole lot of,Not Food
Culligan Softer Equals Better commercial.txt,today on hey culligan softer equals. better here's a tweet from ed itchy in. idaho hey culligan my laundry is so. scratchy i just cut myself on a cable. knit sweater any suggestions. hashtag send help hey attitude in idaho. yes. the culligan high efficiency water. softener will make that thing so soft. it'll go from. cable knit to cable not itchy. soft laundry hashtag already on the way. get started for as little as ten dollars. a month for six months of participating. culligan dealers. visit open road if you think we're just,Not Food
Verizon 5G commercial.txt,verizon engineer. and today we're turning on 5g across the. country. including right here in new york city. with the coverage of 5g nationwide. and in more and more cities the. unprecedented performance. of ultra wideband it will change your. phone and how businesses do. everything i'm proud because we didn't. build it the easy way. we built it right this is the 5g. america's been waiting for. only from verizon 5g ultra wideband. available only in parts of select cities. 5g nationwide available in 1800 plus. cities,Not Food
Babbel commercial.txt,have you ever wanted to learn a new. language like french spanish or russian. but thought it would be too difficult. and time-consuming then go to babble.com. and try it for free. babel works because it's built around. real life it teaches you everyday. practical conversations that you will. actually use in 15 minutes a day you'll. be on your way to speaking a new. language. in just a few weeks babel uses a modern. conversation-based technique that makes. language engaging. fun and memorable it starts by teaching. you words and phrases. then sentences gradually get more. complex soon. you're practicing short conversations. about real life topics. battle is created by language experts. who use the space repetition method. to help you learn quickly and remember. what you learned. with babel you can speak a new language. babble. language for life celebrating 10 million. subscriptions sold. now try babel for free at babel.com just. go to babble.com and start learning a. new language today. that's babble.com b-a-b-b-e-l.com,Not Food
Blank Slate Ryan Seacrest commercial.txt,have you heard about blank slate yet. it's the best board game in fact blank. slate has quickly become the new. favorite with. everybody around here it's very simple. unlike other games no one gets. embarrassed blank slate is. all about having fun right that's what. we want it's perfect for when you get. the fam together. or play with friends online because it's. a game that everyone can get into. and if you need proof just check out any. of the hundreds of five star reviews. it's basically selling out so get blank. slate now at target. barnes and noble or wherever you buy. gamescities. 40. powered by blank slate have you ever. just talking about blank slate yet. it's the favorite board game around here. it's simple and fun everybody loves it. for proof check out hundreds of. five-star reviews. go and get blank slate now at target. barnes noble or wherever you buy board. games. alright back to the hits direct access,Not Food
Z100 Maxwell _ Crystal Live Podcast commercial.txt,york's number one hit music station hey. what's up it's maxwell how you doing i'm. crystal join us through july and august. for our live podcast at the westfield. garden state plaza's summer stage. powered by z100 find out more at. westfield.com that's westfield.com,Not Food
